title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
Practical Asynchronous High-threshold Distributed Key Generation and Distributed Polynomial Sampling.,2,1.6656336419407127,0.6379310344827587,0.1206896551724138,0.0,0.017241379310344827,0.0,0.13793103448275862,0.05172413793103448,0.0,0.0,0.034482758620689655,0.0,0.0
Practical Privacy-Preserving Authentication for SSH.,3,1.9968783668684935,0.5652173913043478,0.15217391304347827,0.0,0.021739130434782608,0.0,0.10869565217391304,0.043478260869565216,0.0,0.06521739130434782,0.0,0.0,0.043478260869565216
zkSaaS: Zero-Knowledge SNARKs as a Service.,3,1.575982867150117,0.5975609756097561,0.24390243902439024,0.0,0.012195121951219513,0.0,0.10975609756097561,0.012195121951219513,0.0,0.0,0.0,0.0,0.024390243902439025
Prime Match: A Privacy-Preserving Inventory Matching System.,4,1.0377724203178629,0.7037037037037037,0.0,0.0,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.0
Linear Private Set Union from Multi-Query Reverse Private Membership Test.,2,1.3868421881310118,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.125,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
Experimenting with Collaborative zk-SNARKs: Zero-Knowledge Proofs for Distributed Secrets.,4,1.7346258039006184,0.5876288659793815,0.12371134020618557,0.010309278350515464,0.0,0.0,0.20618556701030927,0.0,0.020618556701030927,0.010309278350515464,0.0,0.0,0.041237113402061855
TAP: Transparent and Privacy-Preserving Data Services.,2,2.190048479709137,0.20588235294117646,0.38235294117647056,0.0,0.0,0.0,0.23529411764705882,0.08823529411764706,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705
OblivGNN: Oblivious Inference on Transductive and Inductive Graph Neural Network.,3,2.013405145350965,0.21739130434782608,0.30434782608695654,0.043478260869565216,0.0,0.0,0.37681159420289856,0.0,0.043478260869565216,0.014492753623188406,0.0,0.0,0.0
Wink: Deniable Secure Messaging.,4,2.306918950521934,0.0847457627118644,0.4067796610169492,0.0847457627118644,0.0,0.01694915254237288,0.23728813559322035,0.0,0.0,0.05084745762711865,0.0,0.0,0.11864406779661017
Cheesecloth: Zero-Knowledge Proofs of Real World Vulnerabilities.,3,2.156757257685346,0.33962264150943394,0.18867924528301888,0.0,0.0,0.0,0.22641509433962265,0.05660377358490566,0.0,0.0,0.0,0.0,0.18867924528301888
