Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
"Zhelei Zhou et al.: Endemic Oblivious Transfer via Random Oracles, Revisited. (2023)",2023,1,We present a new 1-round UC-secure EOT construction in the RO model under the DDH assumption,1,b,CRY
Aarushi Goel et al.: Speed-Stacking: Fast Sublinear Zero-Knowledge Proofs for Disjunctions. (2023),2023,,,,,
Yevgeniy Dodis et al.: End-to-End Encrypted Zoom Meetings: Proving Security and Strengthening Liveness. (2023),2023,1,"first formal security analysis of zoom E2EE service (modeling & proof), suggestions to improve service that have been pushed to production",4,"a,b,c",MSG
Lucjan Hanzlik: Non-interactive Blind Signatures for Random Messages. (2023),2023,,,,,
"Leo de Castro and Chris Peikert: Functional Commitments for All Functions, with Transparent Setup and from SIS. (2023)",2023,,,,,
Lucjan Hanzlik et al.: Rai-Choo! Evolving Blind Signatures to the Next Level. (2023),2023,,,,,
Yuval Ishai et al.: Black-Box Reusable NISC with Random Oracles. (2023),2023,,,,,
Luciano Maino et al.: A Direct Key Recovery Attack on SIDH. (2023),2023,,,,,
Luca De Feo et al.: New Algorithms for the Deuring Correspondence - Towards Practical and Secure SQISign Signatures. (2023),2023,1,new algorithm to translate ideals of prime-power norm to their corresponding isogenies — a central task of the effective Deuring correspondence,1,a,"CRY,PQC"
"Yongwoo Lee et al.: Efficient FHEW Bootstrapping with Small Evaluation Keys, and Applications to Threshold Homomorphic Encryption. (2023)",2023,,,,,
"Léonard Assouline and Brice Minaud: Weighted Oblivious RAM, with Applications to Searchable Symmetric Encryption. (2023)",2023,,,,,
Lorenzo Grassi et al.: From Farfalle to Megafono via Ciminion: The PRF Hydra for MPC Applications. (2023),2023,1,"we present a novel primitive in symmetric cryptography called Megafono. Megafono is a keyed extendable PRF, expanding a fixed-length input to an arbitrary-length output.",3,b,"ML,CNP,AUC,DAD,AUT"
Martin R. Albrecht et al.: Caveat Implementor! Key Recovery Attacks on MEGA. (2023),2023,2,We analyse these new sanity checks and show how they themselves can be exploited to mount novel attacks on MEGA that recover a target user’s RSA private key with only slightly higher attack complexity than the original attacks.,4,c,"DAD,ML"
Loïc Masure et al.: Effective and Efficient Masking with Low Noise Using Small-Mersenne-Prime Ciphers. (2023),2023,,,,,
Lingyue Qin et al.: Meet-in-the-Middle Preimage Attacks on Sponge-Based Hashing. (2023),2023,2,"We apply the birthday-paradox based MitM attack∗, which has been widely used to attack Merkle-Damg ̊ard [51,17] hashing with PGV modes as well as block ciphers, to the sponge-based hash functions. Additionally, by applying bit conditions, the diffusion of the two neutral sets can be controlled and reduced, and therefore lead to longer MitM characteristics. Finally, we propose a generic MitM framework with conditions for sponge-based hash functions.",1,a,CRY
Pierre Briaud and Morten Øygarden: A New Algebraic Approach to the Regular Syndrome Decoding Problem and Implications for PCG Constructions. (2023),2023,2,We present the first algebraic attack on RSD.,1,"a,b",CRY
Stefano Tessaro and Chenzhi Zhu: Threshold and Multi-signature Schemes from Linear Hash Functions. (2023),2023,,,,,
Nico Döttling et al.: Efficient Laconic Cryptography from Learning with Errors. (2023),2023,,,,,
Stefano Tessaro and Chenzhi Zhu: Revisiting BBS Signatures. (2023),2023,,,,,
Nils Fleischhacker et al.: How to Compress Encrypted Data. (2023),2023,1,"An algo for the task of obliviously compressing a vector comprised of n ciphertexts of size ξ bits each, where at most t of the corresponding plaintexts are non-zero",1,b,CRY
Shweta Agrawal et al.: Public Key Encryption with Secure Key Leasing. (2023),2023,1,"the notion of public key encryption with secure key leasing (PKE-SKL). Our notion supports the leasing of decryption keys so that a leased key achieves the decryption functionality but comes with the guarantee that if the quantum decryption key returned by a user passes a validity test, then the user has lost the ability to decrypt.",2,b,"PQC,SE"
