Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Shweta Agrawal et al.: k-SUM in the Sparse Regime: Complexity and Applications. (2024),2024,1,"Motivated by applications to cryptography, we initiate the study of the sparse regime for k-SUM and its variant k-XOR, especially their planted versions, where a random solution is planted in a randomly generated instance and has to be recovered.",1,"a,b",CRY
Shweta Agrawal et al.: Time-Lock Puzzles from Lattices. (2024),2024,1,"In this work, we propose a new approach to construct time-lock puzzles based on lattices, and therefore with plausible post-quantum security.",3,"a,b","AUC,VOT,BNK,6-BLK,1-BLK,PQC"
Benjamin Bencina et al.: Improved Algorithms for Finding Fixed-Degree Isogenies Between Supersingular Elliptic Curves. (2024),2024,,,,,
Felicitas Hörmann and Wessel P. J. van Woerden: FuLeakage: Breaking FuLeeca by Learning Attacks. (2024),2024,,,,,
Bing Sun et al.: Feistel-Like Structures Revisited: Classification and Cryptanalysis. (2024),2024,,,,,
Fangqi Dong et al.: Tight Characterizations for Preprocessing Against Cryptographic Salting. (2024),2024,,,,,
Fangqi Dong et al.: Laconic Function Evaluation and ABE for RAMs from (Ring-)LWE. (2024),2024,,,,,
Alexander R. Block et al.: Field-Agnostic SNARKs from Expand-Accumulate Codes. (2024),2024,,,,,
Amit Agarwal et al.: Compressing Unit-Vector Correlations via Sparse Pseudorandom Generators. (2024),2024,,,,,
Amos Beimel et al.: Structural Lower Bounds on Black-Box Constructions of Pseudorandom Functions. (2024),2024,,,,,
Benny Applebaum and Eliran Kachlon: Stochastic Secret Sharing with 1-Bit Shares and Applications to MPC. (2024),2024,,,,,
Anasuya Acharya et al.: Malicious Security for SCALES - Outsourced Computation with Ephemeral Servers. (2024),2024,,,,,
"Anders P. K. Dalskov et al.: Fully Secure MPC and zk-FLIOP over Rings: New Constructions, Improvements and Extensions. (2024)",2024,,,,,
Benjamin Ostrovsky: Privacy-Preserving Dijkstra. (2024),2024,1,"""First, we show how for any graph G, given a secret-shared adjacency list, where vertices are arbitrary alphanumeric strings that fit into a single RAM memory word, we can efficiently and securely rename vertices to integers from 1 to V that will appear in increasing order in the resulting secret-shared adjacency list. Second, given a secret-shared adjacency list for any graph G, where vertices are integers from 1 to V and are sorted, we show an oblivious d-normalization algorithm that takes O(1) rounds and O(V + E) secure operations.",1,b,CRY
Andre Esser and Paolo Santini: Not Just Regular Decoding: Asymptotics and Improvements of Regular Syndrome Decoding Attacks. (2024),2024,,,,,
George Lu and Mark Zhandry: Limits on the Power of Prime-Order Groups: Separating Q-Type from Static Assumptions. (2024),2024,,,,,
Dan Boneh et al.: Accountability for Misbehavior in Threshold Decryption via Threshold Traitor Tracing. (2024),2024,1,"we develop the theory of traitor tracing for threshold decryption, where now only a subset J ⊆ [n] of t or more parties can collude to create a pirate decoder D(·).",3,a,"VOT,6-BLK,ASC"
Andreas Hülsing et al.: On Round Elimination for Special-Sound Multi-round Identification and the Generality of the Hypercube for MPCitH. (2024),2024,1,we tackle two open questions related to the general applicability of techniques around this approach that together allow for efficient post-quantum signatures with optimal security bounds in the QROM.,2,b,"AUT,NIST,PQC"
Andrey Kim et al.: Exploring the Advantages and Challenges of Fermat NTT in FHE Acceleration. (2024),2024,,,,,
Bar Alon et al.: MPC for Tech Giants (GMPC): Enabling Gulliver and the Lilliputians to Cooperate Amicably. (2024),2024,,,,,
Dan Boneh et al.: Traceable Secret Sharing: Strong Security and Efficient Constructions. (2024),2024,,,,,
"Aparna Gupte and Vinod Vaikuntanathan: How to Construct Quantum FHE, Generically. (2024)",2024,,,,,
"Balthazar Bauer et al.: Fine-Grained Non-interactive Key Exchange, Revisited. (2024)",2024,,,,,
Daniel J. Bernstein and Tung Chou: CryptAttackTester: high-assurance attack analysis. (2024),2024,,,,,
Baiyu Li et al.: Hintless Single-Server Private Information Retrieval. (2024),2024,1,"""We present two new constructions for private information retrieval (PIR) in the classical setting where the clients do not need to do any preprocessing or store any database dependent information, and the server does not need to store any client-dependent information.""",2,b,"MSG,PWD,WEB,ADD,DAD"
Avital Shafran et al.: Is ML-Based Cryptanalysis Inherently Limited? Simulating Cryptographic Adversaries via Gradient-Based Methods. (2024),2024,,,,,
Augustin Bariant et al.: The Algebraic FreeLunch: Efficient Gröbner Basis Attacks Against Arithmetization-Oriented Primitives. (2024),2024,2,"In this paper, we present a new type of algebraic attack that applies to many recent arithmetization-oriented families of permutations, such as those used in Griffin, Anemoi, ArionHash, and XHash8, whose security relies on the hardness of the constrained-input constrained-output (CICO) problem",1,b,CRY
Dario Catalano et al.: Limits of Black-Box Anamorphic Encryption. (2024),2024,,,,,
Fuchun Lin et al.: More Efficient Zero-Knowledge Protocols over $\mathbb {Z}_{2^k}$ via Galois Rings. (2024),2024,,,,,
Christian Majenz and Fabrizio Sisinni: Provable Security Against Decryption Failure Attacks from LWE. (2024),2024,,,,,
Gaspard Anthoine et al.: Fully-Succinct Multi-key Homomorphic Signatures from Standard Assumptions. (2024),2024,1,we present the first construction of MKHS that are fully succinct (also with respect to the number of users) while achieving adaptive security under standard falsifiable assumptions.,2,"a,b","NWT,PH,1-BLK,DDC"
Carsten Baum et al.: Cheater Identification on a Budget: MPC with Identifiable Abort from Pairwise MACs. (2024),2024,1,"we present a new, lightweight approach to achieving identifiable abort in dishonest majority MPC.",1,b,CRY
Gal Arnon et al.: STIR: Reed-Solomon Proximity Testing with Fewer Queries. (2024),2024,1,"We present STIR (Shift To Improve Rate), an interactive oracle proof of proximity (IOPP) for Reed–Solomon codes that achieves the best known query complexity of any concretely efficient IOPP for this problem.",2,a,CRY
Chris Peikert and Yi Tang: Cryptanalysis of Lattice-Based Sequentiality Assumptions and Proofs of Sequential Work. (2024),2024,2,This work completely breaks the sequentiality assumption (and broad generalizations thereof) underlying the candidate latticebased proof of sequential work (PoSW) recently proposed by Lai and Malavolta at CRYPTO 2023,2,c,"1-BLK,PQC,NWT"
Brent Waters and Mark Zhandry: Adaptive Security in SNARGs via iO and Lossy Functions. (2024),2024,1,"We construct an adaptively sound SNARGs in the plain model with CRS relying on the assumptions of (subexponential) indistinguishability obfuscation (iO), subexponential one-way functions and a notion of lossy functions we call length parameterized lossy functions.",1,b,CRY
Fuyuki Kitagawa et al.: Quantum Public-Key Encryption with Tamper-Resilient Public Keys from One-Way Functions. (2024),2024,,,,,
Abhiram Kothapalli and Srinath T. V. Setty: HyperNova: Recursive Arguments for Customizable Constraint Systems. (2024),2024,,,,,
Gayathri Garimella et al.: Computation Efficient Structure-Aware PSI from Incremental Function Secret Sharing. (2024),2024,,,,,
Björn Kriepke and Gohar M. Kyureghyan: Algebraic Structure of the Iterates of χ. (2024),2024,,,,,
Cecilia Boschini et al.: That's Not My Signature! Fail-Stop Signatures for a Post-quantum World. (2024),2024,1,we propose to add another primitive to that toolbox: Fail-Stop Signatures (FSS) [49]. FSS are digital signatures enhanced with a forgerydetection mechanism that can protect a computationally bounded signer from more powerful attackers.,3,"a,b","PGTS,PQC,CNP
"
Aakash Chowdhury et al.: Leakage Certification Made Simple. (2024),2024,,,,,
Geoffroy Couteau and Naman Kumar: 10-Party Sublinear Secure Computation from Standard Assumptions. (2024),2024,,,,,
Alex Biryukov et al.: Cryptanalysis of Algebraic Verifiable Delay Functions. (2024),2024,2,"In this work, we analyze the security of these algebraic VDF candidates.",4,a,"1-BLK,VOT,BNK"
Renas Bacho et al.: Network-Agnostic Security Comes (Almost) for Free in DKG and MPC. (2023),2023,,,,,
